To Kill a Mockingbird,Harper Lee,1960,4.27
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,4.47
Pride and Prejudice,Jane Austen,1813,4.28
The Diary of a Young Girl,Anne Frank,1947,4.18
Animal Farm,George Orwell,1945,3.98
The Little Prince,Antoine de Saint,1943,4.32
The Great Gatsby,F. Scott Fitzgerald,1925,3.93
The Catcher in the Rye,J.D. Salinger,1951,3.81
The Lord of the Rings,J.R.R. Tolkien,1955,4.52
The Book Thief,Markus Zusak,2006,4.39
Jane Eyre,Charlotte Bronte,1847,4.14
The Chronicles of Narnia,C.S. Lewis,1956,4.27
Lord of the Flies,William Golding,1954,3.69
Romeo and Juliet,William Shakespeare,1597,3.74
Harry Potter and the Deathly Hallows,J.K. Rowling,2007,4.62
1984,George Orwell,1949,4.19
The Kite Runner,Khaled Hosseini,2003,4.33
The Giver,Lois Lowry,1993,4.13
The Giving Tree,Shel Silverstein,1964,4.37
Charlotte's Web,E.B. White,1952,4.19
Little Women,Louisa May Alcott,1868,4.13
